id,data_producao,produto,cor,quantidade_produzida,data_remarcacao,data_validade,dias_restantes,Status,Cor (visual)
1,2025-10-18,Mini Pizza,prata,5,,2025-10-21,-1.0,❌ Vencido,🩶 Prata
2,2025-10-18,Empadao,prata,5,2025-10-21,2025-10-22,-1.0,❌ Vencido,🩶 Prata
